企業名,勤務地,給与,初年度年収
アサヒオリオン飲料株式会社 ,【転勤なし／マイカー通勤OK】 沖縄県浦添市港川2丁目1番1号,"月給／155,000円〜167,500円 ＋ 諸手当 ※上記はあくまで最低保証額です。年齢、経験、能力を考慮の上、…",初年度年収のデータなし
株式会社アーシャルデザイン ,＜社員寮アリ/超人気リゾート地での研修制度＞ ◆東京23区を中心とした首都圏のプロジェクト先 ★希…,◆未経験者／月給22万円以上 ◆PG・SEの経験者／月給25万円以上 ※経験・スキルを考慮し決定します ※試…,300万円～600万円
アドメイク株式会社 ,＜在宅ワークのため全国で募集しております！＞ オフィス見学や業務見学をしたいという方は、 お気軽に…,＜登録料などの費用はゼロ！＞ 【完全出来高制】 □アポインセンティブ:1アポ獲得5000円 □受注インセン…,400万円～1200万円
株式会社NAACS ,【転居を伴う転勤はありません／テレワーク導入中！】 ◆本社 東京都港区浜松町2-2-15　浜松町ダ…,月給24万3281円〜50万円 ※上記金額には固定残業代（45時間分・6万3281円〜）を含みます。超過分は別途…,420万円～600万円
UDS株式会社 ,◎転勤なし ◎現在、週1〜4日の在宅勤務も実施中！ 本社／東京都渋谷区神宮前1-19-19 2F…,年俸制450万円〜600万円 ※経験・能力を考慮の上、当社規定により優遇します。 ※試用期間：3ヶ月(待遇…,450万円～600万円
株式会社アッカ・インターナショナル ,【ECファクトリー 厚木】 ★車、バイク、自転車通勤OK ★ECサイト「PAL CLOSET」での…,"月給210,000円以上＋ピアボーナス（最大約3万円）＋各種手当 ※経験や能力を考慮して決定。 ※月給には…",250万円～350万円
株式会社 askme ,【転勤なし！駅チカでアクセス抜群♪】 大阪または東京での勤務となります ※勤務先は希望に応じます…,【デザイナー】月給26万円〜 ＋ 交通費・残業代全額支給など + 賞与年2回 【アシスタントデザイナー】月…,初年度年収のデータなし
AGCアメニテック株式会社 ,★転勤なし★現在は週4日でリモートワーク（テレワーク・在宅勤務） 《アクセス》 ＊各線「上野駅」よ…,"月給210,000円〜268,000円　+各種手当+賞与年2回（4.7カ月分） ※前職・経験・年齢を考慮の上決定いたし…",391万円～686万円
東通インテグレート株式会社 ,【転勤なし／UIターン歓迎！】 ＜仙台本社＞ 宮城県仙台市若林区卸町2-11-5 ※マイカー通勤O…,月給：60万円〜80万円(一律手当含む) ※試用期間3ヵ月間は月給50万円〜70万円 ー◆経験、スキルを最大限…,初年度年収のデータなし
アンブリオリス・ジャパン株式会社 ,【転勤なし／週の半分はリモートワーク！】 本社／東京都渋谷区神南1−15−3神南プラザビル403…,月給20万円〜25万円 ※経験・年齢・能力を十分考慮のうえ、決定します。 ※試用期間3ヶ月あり。その間の…,240万円～300万円
ハリウッド株式会社 ,《駅近！六本木ヒルズ勤務で仕事帰りも充実♪》 東京都港区六本木6丁目4番1号ハリウッドビューティプ…,月給25〜30万円 ※年齢・経験・スキルを考慮して決定致します。 ※試用期間6ヶ月あり。その間は月給20万…,300万円～450万円
株式会社エイブリッジ ,沖縄県内：那覇市、浦添市、うるま市、嘉手納町、名護市 ※各プロジェクト先にて勤務となります。 ※希…,月給20万円〜45万円 ※年齢、経験、能力を考慮の上、優遇します。 ※待遇条件の詳細については、面接な…,初年度年収のデータなし
株式会社ヤマハミュージックジャパン ,東京都中央区日本橋箱崎町41-12,月給：24万6000円〜 ※年齢、経験、能力を考慮の上、優遇します。 ※別途、交通費を規程により支給します。,初年度年収のデータなし
株式会社ROC ,【転勤なし】 ■本社 兵庫県神戸市中央区磯上通4-1-14 三宮スカイビル807 《アクセス》 ・…,■未経験者／月給22万円〜 ■経験者／月給25万円〜 ※経験・年齢・能力を考慮の上決定します ※試用期間…,300万円～350万円
グッドコンサルティング株式会社 ,《転勤なし／「新宿駅」徒歩4分・「南新宿駅」徒歩3分》 【本社】 東京都渋谷区代々木2-23-1　…,月給24万円以上 ※経験・スキルにより給与を決定いたします。 ※上記金額には、みなし残業代（30時間分／…,初年度年収のデータなし
行政書士法人希 ,《姫路/千葉/北九州/仙台/秋田/青森/盛岡/和歌山の各オフィス※希望考慮》 姫路オフィス(兵庫県…,月給17万円〜25万円 ※経験・能力・年齢等を考慮の上、決定します,250万円～500万円
特許業務法人 朝日奈特許事務所 ,大阪府大阪市中央区谷町2丁目2番22号NSビル7F 【アクセス】 Osaka Metro・京阪「天…,月給21万円〜28万円 ※年齢・経験・能力等を考慮の上、決定します,初年度年収のデータなし
セバ・ジャパン株式会社 ,★転勤なし ★マイカー通勤OK ★鶴見駅よりバスで10分「理研・市大大学院前」で下車 ★ JR鶴見…,月給40万円〜50万円＋賞与年2回(昨年度実績4.5ヵ月分) ※経験・能力などを考慮の上、決定いたします。,660万円～825万円
京都きもの友禅株式会社 ,《★日本橋の本社オフィスで積極採用！》 《★転勤なし》 【本社】 東京都中央区日本橋大伝馬町14-…,"月給190,000円〜300,000円 ※スキル・経験・能力を考慮の上、当社規定により決定します。 ※残業代は全…",300万円～450万円
株式会社ECスタジオ ,★転勤なし ★飯田橋駅徒歩1分の好立地で活躍！ 東京本社（千代田区飯田橋）での勤務となります。 【…,月給／25万円〜40万円 ※経験・能力・スキル等を考慮し、決定します。 ※試用期間6ヵ月（期間中の待遇に…,350万円～560万円
株式会社トラックス ,★転勤なし ★U・Iターン歓迎 札幌オフィス（BRANCH OFFICE） 北海道札幌市中央区南2…,月給25万円〜50万円 これまでの経験やスキル等を考慮し、当社規定により決定します。 上記給与には30時…,300万円～650万円
株式会社パラミックス琉球 ,【 転勤なし 】 沖縄県那覇市字赤嶺1-3-11 京屋ビル4F ◎ゆいレール「赤嶺駅」より徒歩3分…,"月給15万円〜29万1,000円 + 諸手当 【 別途年1回の業績貢献報酬制度あり 】 ※年齢、経験、能力を考慮の…",初年度年収のデータなし
F&Mパートナーズ税理士法人 ,2021年5月下旬にオープン予定！ 本町支店 大阪市中央区北久宝寺町4丁目2番10号東明ビル6階…,未経験者：月給18万円〜＋各種手当+賞与（年2回） 経験者　：月給20万円〜＋各種手当+賞与（年2回） ※…,初年度年収のデータなし
株式会社善波 ,★転勤なし ★麻布十番駅・赤羽橋駅より徒歩6分 ★業務に慣れれば、リモートワークも可能です 東京都…,【月給】25万円〜35万円＋諸手当＋賞与（年2回） ◎あなたが培ってきた今までの経験・スキルを考慮の上…,250万円～600万円
株式会社キネマシトラス ,【本社スタジオ】 東京都杉並区南荻窪4-36-4　第三田丸ビル202 ⇒『荻窪駅』徒歩7〜8分 ※…,"月給：22万5,000円〜35万円 ※経験やスキルにより決定 ※固定残業代（5万9,700円〜・45時間相当分）含む…",270万円～420万円
株式会社ベネフィット・ワン ,★UIターン歓迎／今なら転居祝い金も支給 ★神戸からの通勤もラクラク！ ★明石・加古川・垂水・西宮…,月給19万6667円〜27万5000円 ＋カフェテリアポイント (※)年10万円相当分＋賞与年2回（業績連動） 前職を…,250万円～350万円
有限会社イーティー ,【転勤なし】 【横浜市営地下鉄ブルーライン 「伊勢佐木長者町駅」より徒歩5分】 神奈川県横浜市中区…,月給23万円以上 ※経験・能力などを考慮し、当社規定により決定します。 ※上記には固定残業代3万円(〜23…,初年度年収のデータなし
杉田会計事務所 ,【駅近＆築浅のきれいなオフィスビル勤務！】 ※転勤なし ※梅田・天王寺・難波からも乗換なし♪ 大阪…,月給25万円以上＋賞与年3回(計4.0ヶ月分支給／昨年度実績) 【モデル年収例】 600〜700万円／30代 700〜8…,450万円～600万円
株式会社耕電設 ,宮城県名取市 ※2021年6月開設予定 ★転勤なし ★マイカー通勤可 ★U・Iターン歓迎,月給／20万円〜40万円 【収入例】 月収／40万円〜(1級電気施工管理技士)　 月収／25万円〜(第一種電気工…,300万円～600万円
株式会社カカクコム・インシュアランス ,【。*：゜本社勤務！新橋駅より徒歩2分の好アクセス♪：。*。】 ◆本社 東京都港区新橋2-6-2…,月給25万円〜＋残業代別途支給（1分単位） ※経験や能力、前職給与等を考慮のうえ、話し合いにより決定し…,300万円～400万円
株式会社CO2O ,【転勤なし／慣れてきたらリモートワークもOK】 ★「田町駅」徒歩4分・「三田駅」徒歩6分 ★UIタ…,【年俸300万円〜600万円】＋賞与年2回＋各種手当 ※年俸の12分の1を毎月支給（月額25万円〜50万円） ※…,300万円～700万円
明京電機株式会社 ,＊---アクセス◎「西日暮里駅」徒歩6分---＊ ☆転勤はありません 【本社】 東京都北区田端新町…,月給:30万円以上＋賞与年2回（業績による） ※経験・能力・スキルを考慮の上、決定します。 ※固定残業…,420万円～550万円
