企業名,勤務地,給与,初年度年収
山陽電気通信工事株式会社 ,【転勤はありません／マイカー通勤可】 ◆岡山県岡山市北区御津中山120-1 ◆兵庫県姫路市西庄乙1…,"月給190,000〜310,000円＋諸手当 ※上記はあくまで最低保証額です。 　年齢、経験、能力を考慮の上、優…",初年度年収のデータなし
株式会社ヤマハミュージックジャパン ,東京都中央区日本橋箱崎町41-12,月給：24万6000円〜 ※年齢、経験、能力を考慮の上、優遇します。 ※別途、交通費を規程により支給します。,初年度年収のデータなし
朝日航洋株式会社 ,空間情報事業本社 （埼玉県川越市南台3-14-4） ※将来、ジョブローテーションとして、航空本社（…,◆月給22万円以上(一律手当含む)＋賞与年2回 ★昨年度実績年間5.5ヶ月分 ※年齢、実務経験、職務能力を考…,初年度年収のデータなし
有限会社イント ,【転勤なし／拡大移転したばかりの綺麗なオフィス】 ★「恵比寿」から徒歩5分 ◆本社 東京都渋谷区恵…,◆月給20万円〜35万円＋賞与＋交通費全額支給 ※経験・スキルを考慮して、当社規定により優遇します。 ※…,初年度年収のデータなし
シーホーム株式会社 ,【転勤なし／U・Iターン歓迎／マイカー通勤OK】 本社／群馬県前橋市山王町1-1-3 コモン広瀬1…,【月給】18万円〜23万円 ※経験・年齢・能力などを考慮して、当社規定により決定いたします。,初年度年収のデータなし
株式会社キュアホープ ,大阪府大阪市淀川区西中島7-4-17 新大阪上野東洋ビル 11階 <アクセス> 御堂筋線「新大阪駅…,月給 20万8000円〜41万6000円 ※年齢、経験、能力を考慮の上、優遇します ※詳細は、面接などでご相談く…,初年度年収のデータなし
株式会社日本オフィスオートメーション ,転勤なし★車通勤OK★UIターン歓迎 【盛岡営業所】岩手県滝沢市鵜飼細谷地101-13 ◎希望によ…,"月給19万1,000円〜21万8,000円＋各種手当＋賞与年2回 ＜各種手当が充実＞ ■交通費支給（月10万円まで）…",250万円～300万円
株式会社タカラトミーアイビス ,【転勤なし】 〈本社〉 東京都葛飾区青戸4-19-16 タカラトミー青戸ビル 〈アクセス〉 京成線…,月給18万円以上 ※経験・能力を考慮し決定します ※上記はあくまで入社時の最下限給与です ※試用期間なし,初年度年収のデータなし
株式会社コンドルネクスト ,【マイカー通勤可／転勤なし】 名古屋市港区正保町八丁目43番地1,"月給220,000円〜250,000円 ※経験やスキルを考慮して決定いたします。 ※試用期限3ヵ月／その期間の待遇…",300万円～350万円
ハシモ株式会社 ,◆本社(栃木)、東京、宮城のいずれかでの勤務 【本社】 栃木県大田原市南金丸2000 【東京営業所…,◆月給22万円〜35万円 ※資格・経験・スキルを考慮の上、決定します ※試用期間3か月あり（待遇は変わり…,300万円～500万円
学校法人濱名山手学院 ,希望を配慮して＜尼崎キャンパス・神戸山手キャンパス＞のいずれかに配属します 【勤務地詳細】 尼崎キ…,"月給：28万9,700円~40万円 ＋ 諸手当 ※年齢、経験、能力を考慮の上、優遇いたします ※入職時期は2021年…",500万円～700万円
株式会社セイコーフレッシュフーズ ,【 UIターン歓迎＆実績あり 】 北海道札幌市白石区流通センター7丁目9番35号 ◎マイカー通勤可…,月給25万円〜45万円 ※残業の有無に関わらず、固定残業代30時間分(4.5〜6万円)を含みます。超過分は別途…,初年度年収のデータなし
セバ・ジャパン株式会社 ,★転勤なし ★マイカー通勤OK ★鶴見駅よりバスで10分「理研・市大大学院前」で下車 ★ JR鶴見…,月給40万円〜50万円＋賞与年2回(昨年度実績4.5ヵ月分) ※経験・能力などを考慮の上、決定いたします。,660万円～825万円
株式会社村田工業 ,転勤なし／U・Iターン歓迎【群馬へ移住する方は引越し代を一部補助】 本社／本社／群馬県太田市由良町…,【月給】22万円〜45万円＋諸手当 ※これまでの経験・能力を考慮のうえ、加給・優遇します。 ※試用期間3…,300万円～600万円
坂上信一郎公認会計士・税理士事務所 ,【転勤なし／「新中野駅」から徒歩すぐ】 東京都中野区中央4-9-6 ★テレワーク・フレックスタイム…,"月給20万4,400円〜37万2,900円＋賞与年2回＋残業代別途全額支給 ※経験・スキルに応じて、給与を決定い…",300万円～500万円
京都きもの友禅株式会社 ,《★日本橋の本社オフィスで積極採用！》 《★転勤なし》 【本社】 東京都中央区日本橋大伝馬町14-…,"月給190,000円〜300,000円 ※スキル・経験・能力を考慮の上、当社規定により決定します。 ※残業代は全…",300万円～450万円
くま税理士事務所 ,【徒歩2分★駅チカオフィス】 福岡県福岡市中央区赤坂1-10-26 重松第5ビル601号 ※転勤な…,月給20万円〜28万円　+　諸手当 ※年齢、経験、能力を考慮の上、優遇します。,初年度年収のデータなし
アサミ情報システム株式会社 ,★::U・Iターン歓迎／転勤なし::★ ※「谷町六丁目」駅から徒歩3分の好立地！ 【大阪本社】 大…,◆月給20万円〜30万円 ※経験・能力を考慮の上、決定いたします,300万円～450万円
F&Mパートナーズ税理士法人 ,2021年5月下旬にオープン予定！ 本町支店 大阪市中央区北久宝寺町4丁目2番10号東明ビル6階…,未経験者：月給18万円〜＋各種手当+賞与（年2回） 経験者　：月給20万円〜＋各種手当+賞与（年2回） ※…,初年度年収のデータなし
株式会社朝日サイエンス ,＼UIターン歓迎／ ＼マイカー通勤OK／ 希望に合わせて鹿児島市・宮崎市・延岡市の いずれかで勤務…,"月給180,000円〜340,000円 ※年齢、経験、能力を考慮の上、優遇します。 ※試用期間6カ月間（待遇同一）…",300万円～450万円
株式会社善波 ,★転勤なし ★麻布十番駅・赤羽橋駅より徒歩6分 ★業務に慣れれば、リモートワークも可能です 東京都…,【月給】25万円〜35万円＋諸手当＋賞与（年2回） ◎あなたが培ってきた今までの経験・スキルを考慮の上…,250万円～600万円
株式会社太平設計 ,≪転勤はなく、地域に根ざして働けます！≫ 本社（北九州市小倉北区下富野1丁目6番21号） ★バス停…,月給20万円〜50万円＋諸手当 ※上記は最低保証額です。年齢、経験、能力を考慮の上、優遇します。 ※待…,初年度年収のデータなし
株式会社モリコーポレーション ,東京都江東区豊洲にあるクライアント企業内及び東京支社 ※クライアントは業界大手の東証一部上場企業の…,＜クライアント企業内＞ 月給24万円以上＋各種手当＋賞与 ＜東京支社＞ 月給20万円以上＋各種手当＋賞与 …,300万円～480万円
株式会社耕電設 ,宮城県名取市 ※2021年6月開設予定 ★転勤なし ★マイカー通勤可 ★U・Iターン歓迎,月給／20万円〜40万円 【収入例】 月収／40万円〜(1級電気施工管理技士)　 月収／25万円〜(第一種電気工…,300万円～600万円
株式会社神戸物産 ,【本社勤務！移転したばかりの新オフィス】 本社住所：兵庫県加古川市加古川町平野125-1,月給23万〜28万円以上＋各種手当+賞与年2回 ※上記はあくまで基本給です。 ※経験・年齢・能力を考慮の…,350万円～430万円
光情報通信株式会社 ,【本社】北海道札幌市白石区平和通2丁目南1番7号 ※転勤なし ※マイカー通勤可 ※無料駐車場あり,"月給／250,000円〜404,000円(一律手当含む) ※能力・経験を考慮し決定します。 ※試用期間3か月間(同条…",初年度年収のデータなし
アシストアップ株式会社 ,《転勤なし／本町駅から徒歩2分！》 ◆大阪府大阪市中央区久太郎町3-6-8 御堂筋ダイワビル8F…,◆月給27万円〜50万円＋各種手当＋インセンティブ ※経験や能力などを考慮し、決定します。 ※月給額には…,350万円～1000万円
来海有起税理士事務所 ,北海道帯広市西1条南7丁目20 ※転勤なし・UIターン歓迎！ ※引越し費用補助あり。面接・入社時期…,年俸360万円〜480万円＋歩合給（想定年収：420万円〜540万円） ※経験・能力・資格を考慮のうえ決定しま…,初年度年収のデータなし
グリーンプラザ開発株式会社 ,【転勤なし／マイカー通勤OK！】 福岡県中間市上蓮花寺1-2-1 クリエートタウンビル ＜アクセス…,月給19万円〜26万5000円（一律支給の住宅手当含む） + 時間外手当など ※年齢・経験・スキルを十分考慮…,初年度年収のデータなし
一般財団法人 埼玉県総合労働福祉協会 ,埼玉県さいたま市浦和区東高砂町27-5,"(1)人事労務実務経験有・有資格者：月給33万円〜45万円（12時間分相当の固定残業代/29,000円〜40,000円を…",350万円～700万円
株式会社メディコネ ,本社／福岡県福岡市中央区那の津4-3-4 ★転勤なし！ ≪ アクセス ≫ 地下鉄空港線「天神駅」／…,月給20万円〜25万円 + 賞与 + 各種手当 ※ 経験、年齢、能力などを考慮の上、優遇いたします。 ※ 試用…,初年度年収のデータなし
